date,sku,units_sold,on_hand,stockout_flag
2021-01-01,Espresso Beans (Arabica),21.0,159.0,False
2021-01-02,Espresso Beans (Arabica),23.0,136.0,False
2021-01-03,Espresso Beans (Arabica),20.0,116.0,False
2021-01-04,Espresso Beans (Arabica),18.0,98.0,False
2021-01-05,Espresso Beans (Arabica),20.0,78.0,False
2021-01-06,Espresso Beans (Arabica),18.0,60.0,False
2021-01-07,Espresso Beans (Arabica),22.0,263.0,False
2021-01-08,Espresso Beans (Arabica),19.0,244.0,False
2021-01-09,Espresso Beans (Arabica),20.0,224.0,False
2021-01-10,Espresso Beans (Arabica),21.0,203.0,False
2021-01-11,Espresso Beans (Arabica),25.0,178.0,False
2021-01-12,Espresso Beans (Arabica),18.0,160.0,False
2021-01-13,Espresso Beans (Arabica),20.0,140.0,False
2021-01-14,Espresso Beans (Arabica),21.0,119.0,False
2021-01-15,Espresso Beans (Arabica),18.0,101.0,False
2021-01-16,Espresso Beans (Arabica),21.0,305.0,False
2021-01-17,Espresso Beans (Arabica),22.0,283.0,False
2021-01-18,Espresso Beans (Arabica),20.0,263.0,False
2021-01-19,Espresso Beans (Arabica),16.0,247.0,False
2021-01-20,Espresso Beans (Arabica),18.0,229.0,False
2021-01-21,Espresso Beans (Arabica),18.0,211.0,False
2021-01-22,Espresso Beans (Arabica),20.0,191.0,False
2021-01-23,Espresso Beans (Arabica),23.0,168.0,False
2021-01-24,Espresso Beans (Arabica),19.0,149.0,False
2021-01-25,Espresso Beans (Arabica),17.0,132.0,False
2021-01-26,Espresso Beans (Arabica),21.0,111.0,False
2021-01-27,Espresso Beans (Arabica),19.0,92.0,False
2021-01-28,Espresso Beans (Arabica),19.0,298.0,False
2021-01-29,Espresso Beans (Arabica),19.0,279.0,False
2021-01-30,Espresso Beans (Arabica),22.0,257.0,False
2021-01-31,Espresso Beans (Arabica),21.0,236.0,False
2021-02-01,Espresso Beans (Arabica),20.0,216.0,False
2021-02-02,Espresso Beans (Arabica),16.0,200.0,False
2021-02-03,Espresso Beans (Arabica),17.0,183.0,False
2021-02-04,Espresso Beans (Arabica),19.0,164.0,False
2021-02-05,Espresso Beans (Arabica),22.0,142.0,False
2021-02-06,Espresso Beans (Arabica),18.0,124.0,False
2021-02-07,Espresso Beans (Arabica),16.0,108.0,False
2021-02-08,Espresso Beans (Arabica),18.0,90.0,False
2021-02-09,Espresso Beans (Arabica),18.0,297.0,False
2021-02-10,Espresso Beans (Arabica),23.0,274.0,False
2021-02-11,Espresso Beans (Arabica),20.0,254.0,False
2021-02-12,Espresso Beans (Arabica),22.0,232.0,False
2021-02-13,Espresso Beans (Arabica),18.0,214.0,False
2021-02-14,Espresso Beans (Arabica),19.0,195.0,False
2021-02-15,Espresso Beans (Arabica),19.0,176.0,False
2021-02-16,Espresso Beans (Arabica),20.0,156.0,False
2021-02-17,Espresso Beans (Arabica),26.0,130.0,False
2021-02-18,Espresso Beans (Arabica),15.0,115.0,False
2021-02-19,Espresso Beans (Arabica),19.0,96.0,False
2021-02-20,Espresso Beans (Arabica),23.0,73.0,False
2021-02-21,Espresso Beans (Arabica),17.0,281.0,False
2021-02-22,Espresso Beans (Arabica),19.0,262.0,False
2021-02-23,Espresso Beans (Arabica),22.0,240.0,False
2021-02-24,Espresso Beans (Arabica),17.0,223.0,False
2021-02-25,Espresso Beans (Arabica),18.0,205.0,False
2021-02-26,Espresso Beans (Arabica),22.0,183.0,False
2021-02-27,Espresso Beans (Arabica),20.0,163.0,False
2021-02-28,Espresso Beans (Arabica),19.0,144.0,False
2021-03-01,Espresso Beans (Arabica),20.0,124.0,False
2021-03-02,Espresso Beans (Arabica),19.0,105.0,False
2021-03-03,Espresso Beans (Arabica),20.0,85.0,False
2021-03-04,Espresso Beans (Arabica),20.0,65.0,False
2021-03-05,Espresso Beans (Arabica),17.0,273.0,False
2021-03-06,Espresso Beans (Arabica),24.0,249.0,False
2021-03-07,Espresso Beans (Arabica),23.0,226.0,False
2021-03-08,Espresso Beans (Arabica),17.0,209.0,False
2021-03-09,Espresso Beans (Arabica),19.0,190.0,False
2021-03-10,Espresso Beans (Arabica),22.0,168.0,False
2021-03-11,Espresso Beans (Arabica),14.0,154.0,False
2021-03-12,Espresso Beans (Arabica),17.0,137.0,False
2021-03-13,Espresso Beans (Arabica),22.0,115.0,False
2021-03-14,Espresso Beans (Arabica),18.0,97.0,False
2021-03-15,Espresso Beans (Arabica),20.0,77.0,False
2021-03-16,Espresso Beans (Arabica),17.0,60.0,False
2021-03-17,Espresso Beans (Arabica),19.0,266.0,False
2021-03-18,Espresso Beans (Arabica),19.0,247.0,False
2021-03-19,Espresso Beans (Arabica),17.0,230.0,False
2021-03-20,Espresso Beans (Arabica),18.0,212.0,False
2021-03-21,Espresso Beans (Arabica),17.0,195.0,False
2021-03-22,Espresso Beans (Arabica),19.0,176.0,False
2021-03-23,Espresso Beans (Arabica),24.0,152.0,False
2021-03-24,Espresso Beans (Arabica),21.0,131.0,False
2021-03-25,Espresso Beans (Arabica),15.0,116.0,False
2021-03-26,Espresso Beans (Arabica),17.0,99.0,False
2021-03-27,Espresso Beans (Arabica),17.0,82.0,False
2021-03-28,Espresso Beans (Arabica),23.0,59.0,False
2021-03-29,Espresso Beans (Arabica),20.0,264.0,False
2021-03-30,Espresso Beans (Arabica),18.0,246.0,False
2021-03-31,Espresso Beans (Arabica),18.0,228.0,False
2021-04-01,Espresso Beans (Arabica),20.0,208.0,False
2021-04-02,Espresso Beans (Arabica),20.0,188.0,False
2021-04-03,Espresso Beans (Arabica),18.0,170.0,False
2021-04-04,Espresso Beans (Arabica),25.0,145.0,False
2021-04-05,Espresso Beans (Arabica),19.0,126.0,False
2021-04-06,Espresso Beans (Arabica),19.0,107.0,False
2021-04-07,Espresso Beans (Arabica),19.0,313.0,False
2021-04-08,Espresso Beans (Arabica),20.0,293.0,False
2021-04-09,Espresso Beans (Arabica),18.0,275.0,False
2021-04-10,Espresso Beans (Arabica),18.0,257.0,False
2021-04-11,Espresso Beans (Arabica),19.0,238.0,False
2021-04-12,Espresso Beans (Arabica),18.0,220.0,False
2021-04-13,Espresso Beans (Arabica),17.0,203.0,False
2021-04-14,Espresso Beans (Arabica),22.0,181.0,False
2021-04-15,Espresso Beans (Arabica),17.0,164.0,False
2021-04-16,Espresso Beans (Arabica),18.0,146.0,False
2021-04-17,Espresso Beans (Arabica),23.0,123.0,False
2021-04-18,Espresso Beans (Arabica),22.0,101.0,False
2021-04-19,Espresso Beans (Arabica),17.0,309.0,False
2021-04-20,Espresso Beans (Arabica),20.0,289.0,False
2021-04-21,Espresso Beans (Arabica),17.0,272.0,False
2021-04-22,Espresso Beans (Arabica),22.0,250.0,False
2021-04-23,Espresso Beans (Arabica),18.0,232.0,False
2021-04-24,Espresso Beans (Arabica),22.0,210.0,False
2021-04-25,Espresso Beans (Arabica),16.0,194.0,False
2021-04-26,Espresso Beans (Arabica),16.0,178.0,False
2021-04-27,Espresso Beans (Arabica),20.0,158.0,False
2021-04-28,Espresso Beans (Arabica),18.0,140.0,False
2021-04-29,Espresso Beans (Arabica),21.0,119.0,False
2021-04-30,Espresso Beans (Arabica),19.0,100.0,False
2021-05-01,Espresso Beans (Arabica),19.0,306.0,False
2021-05-02,Espresso Beans (Arabica),20.0,286.0,False
2021-05-03,Espresso Beans (Arabica),18.0,268.0,False
2021-05-04,Espresso Beans (Arabica),17.0,251.0,False
2021-05-05,Espresso Beans (Arabica),20.0,231.0,False
2021-05-06,Espresso Beans (Arabica),21.0,210.0,False
2021-05-07,Espresso Beans (Arabica),18.0,192.0,False
2021-05-08,Espresso Beans (Arabica),21.0,171.0,False
2021-05-09,Espresso Beans (Arabica),19.0,152.0,False
2021-05-10,Espresso Beans (Arabica),13.0,139.0,False
2021-05-11,Espresso Beans (Arabica),17.0,122.0,False
2021-05-12,Espresso Beans (Arabica),15.0,107.0,False
2021-05-13,Espresso Beans (Arabica),18.0,314.0,False
2021-05-14,Espresso Beans (Arabica),15.0,299.0,False
2021-05-15,Espresso Beans (Arabica),17.0,282.0,False
2021-05-16,Espresso Beans (Arabica),18.0,264.0,False
2021-05-17,Espresso Beans (Arabica),18.0,246.0,False
2021-05-18,Espresso Beans (Arabica),17.0,229.0,False
2021-05-19,Espresso Beans (Arabica),18.0,211.0,False
2021-05-20,Espresso Beans (Arabica),19.0,192.0,False
2021-05-21,Espresso Beans (Arabica),14.0,178.0,False
2021-05-22,Espresso Beans (Arabica),19.0,159.0,False
2021-05-23,Espresso Beans (Arabica),20.0,139.0,False
2021-05-24,Espresso Beans (Arabica),16.0,123.0,False
2021-05-25,Espresso Beans (Arabica),20.0,103.0,False
2021-05-26,Espresso Beans (Arabica),16.0,87.0,False
2021-05-27,Espresso Beans (Arabica),16.0,71.0,False
2021-05-28,Espresso Beans (Arabica),14.0,282.0,False
2021-05-29,Espresso Beans (Arabica),19.0,263.0,False
2021-05-30,Espresso Beans (Arabica),19.0,244.0,False
2021-05-31,Espresso Beans (Arabica),15.0,229.0,False
2021-06-01,Espresso Beans (Arabica),16.0,213.0,False
2021-06-02,Espresso Beans (Arabica),19.0,194.0,False
2021-06-03,Espresso Beans (Arabica),19.0,175.0,False
2021-06-04,Espresso Beans (Arabica),18.0,157.0,False
2021-06-05,Espresso Beans (Arabica),22.0,135.0,False
2021-06-06,Espresso Beans (Arabica),17.0,118.0,False
2021-06-07,Espresso Beans (Arabica),17.0,101.0,False
2021-06-08,Espresso Beans (Arabica),15.0,86.0,False
2021-06-09,Espresso Beans (Arabica),14.0,297.0,False
2021-06-10,Espresso Beans (Arabica),20.0,277.0,False
2021-06-11,Espresso Beans (Arabica),18.0,259.0,False
2021-06-12,Espresso Beans (Arabica),18.0,241.0,False
2021-06-13,Espresso Beans (Arabica),19.0,222.0,False
2021-06-14,Espresso Beans (Arabica),22.0,200.0,False
2021-06-15,Espresso Beans (Arabica),17.0,183.0,False
2021-06-16,Espresso Beans (Arabica),16.0,167.0,False
2021-06-17,Espresso Beans (Arabica),15.0,152.0,False
2021-06-18,Espresso Beans (Arabica),18.0,134.0,False
2021-06-19,Espresso Beans (Arabica),17.0,117.0,False
2021-06-20,Espresso Beans (Arabica),19.0,98.0,False
2021-06-21,Espresso Beans (Arabica),13.0,310.0,False
2021-06-22,Espresso Beans (Arabica),18.0,292.0,False
2021-06-23,Espresso Beans (Arabica),11.0,281.0,False
2021-06-24,Espresso Beans (Arabica),17.0,264.0,False
2021-06-25,Espresso Beans (Arabica),14.0,250.0,False
2021-06-26,Espresso Beans (Arabica),17.0,233.0,False
2021-06-27,Espresso Beans (Arabica),18.0,215.0,False
2021-06-28,Espresso Beans (Arabica),20.0,195.0,False
2021-06-29,Espresso Beans (Arabica),19.0,176.0,False
2021-06-30,Espresso Beans (Arabica),15.0,161.0,False
2021-07-01,Espresso Beans (Arabica),17.0,144.0,False
2021-07-02,Espresso Beans (Arabica),15.0,129.0,False
2021-07-03,Espresso Beans (Arabica),14.0,115.0,False
2021-07-04,Espresso Beans (Arabica),19.0,96.0,False
2021-07-05,Espresso Beans (Arabica),13.0,83.0,False
2021-07-06,Espresso Beans (Arabica),16.0,292.0,False
2021-07-07,Espresso Beans (Arabica),17.0,275.0,False
2021-07-08,Espresso Beans (Arabica),18.0,257.0,False
2021-07-09,Espresso Beans (Arabica),17.0,240.0,False
2021-07-10,Espresso Beans (Arabica),16.0,224.0,False
2021-07-11,Espresso Beans (Arabica),14.0,210.0,False
2021-07-12,Espresso Beans (Arabica),15.0,195.0,False
2021-07-13,Espresso Beans (Arabica),16.0,179.0,False
2021-07-14,Espresso Beans (Arabica),18.0,161.0,False
2021-07-15,Espresso Beans (Arabica),17.0,144.0,False
2021-07-16,Espresso Beans (Arabica),17.0,127.0,False
2021-07-17,Espresso Beans (Arabica),17.0,110.0,False
2021-07-18,Espresso Beans (Arabica),19.0,91.0,False
2021-07-19,Espresso Beans (Arabica),12.0,79.0,False
2021-07-20,Espresso Beans (Arabica),14.0,65.0,False
2021-07-21,Espresso Beans (Arabica),14.0,276.0,False
2021-07-22,Espresso Beans (Arabica),19.0,257.0,False
2021-07-23,Espresso Beans (Arabica),20.0,237.0,False
2021-07-24,Espresso Beans (Arabica),14.0,223.0,False
2021-07-25,Espresso Beans (Arabica),16.0,207.0,False
2021-07-26,Espresso Beans (Arabica),13.0,194.0,False
2021-07-27,Espresso Beans (Arabica),19.0,175.0,False
2021-07-28,Espresso Beans (Arabica),17.0,158.0,False
2021-07-29,Espresso Beans (Arabica),13.0,145.0,False
2021-07-30,Espresso Beans (Arabica),17.0,128.0,False
2021-07-31,Espresso Beans (Arabica),15.0,113.0,False
2021-08-01,Espresso Beans (Arabica),17.0,96.0,False
2021-08-02,Espresso Beans (Arabica),62.0,259.0,False
2021-08-03,Espresso Beans (Arabica),17.0,242.0,False
2021-08-04,Espresso Beans (Arabica),19.0,223.0,False
2021-08-05,Espresso Beans (Arabica),20.0,203.0,False
2021-08-06,Espresso Beans (Arabica),13.0,190.0,False
2021-08-07,Espresso Beans (Arabica),17.0,173.0,False
2021-08-08,Espresso Beans (Arabica),18.0,155.0,False
2021-08-09,Espresso Beans (Arabica),21.0,134.0,False
2021-08-10,Espresso Beans (Arabica),16.0,118.0,False
2021-08-11,Espresso Beans (Arabica),14.0,104.0,False
2021-08-12,Espresso Beans (Arabica),16.0,88.0,False
2021-08-13,Espresso Beans (Arabica),20.0,68.0,False
2021-08-14,Espresso Beans (Arabica),18.0,275.0,False
2021-08-15,Espresso Beans (Arabica),19.0,256.0,False
2021-08-16,Espresso Beans (Arabica),17.0,239.0,False
2021-08-17,Espresso Beans (Arabica),16.0,223.0,False
2021-08-18,Espresso Beans (Arabica),17.0,206.0,False
2021-08-19,Espresso Beans (Arabica),18.0,188.0,False
2021-08-20,Espresso Beans (Arabica),14.0,174.0,False
2021-08-21,Espresso Beans (Arabica),22.0,152.0,False
2021-08-22,Espresso Beans (Arabica),17.0,135.0,False
2021-08-23,Espresso Beans (Arabica),19.0,116.0,False
2021-08-24,Espresso Beans (Arabica),16.0,100.0,False
2021-08-25,Espresso Beans (Arabica),18.0,82.0,False
2021-08-26,Espresso Beans (Arabica),16.0,291.0,False
2021-08-27,Espresso Beans (Arabica),19.0,272.0,False
2021-08-28,Espresso Beans (Arabica),16.0,256.0,False
2021-08-29,Espresso Beans (Arabica),15.0,241.0,False
2021-08-30,Espresso Beans (Arabica),16.0,225.0,False
2021-08-31,Espresso Beans (Arabica),19.0,206.0,False
2021-09-01,Espresso Beans (Arabica),18.0,188.0,False
2021-09-02,Espresso Beans (Arabica),17.0,171.0,False
2021-09-03,Espresso Beans (Arabica),17.0,154.0,False
2021-09-04,Espresso Beans (Arabica),14.0,140.0,False
2021-09-05,Espresso Beans (Arabica),15.0,125.0,False
2021-09-06,Espresso Beans (Arabica),12.0,113.0,False
2021-09-07,Espresso Beans (Arabica),20.0,93.0,False
2021-09-08,Espresso Beans (Arabica),15.0,78.0,False
2021-09-09,Espresso Beans (Arabica),17.0,61.0,False
2021-09-10,Espresso Beans (Arabica),18.0,268.0,False
2021-09-11,Espresso Beans (Arabica),20.0,248.0,False
2021-09-12,Espresso Beans (Arabica),19.0,229.0,False
2021-09-13,Espresso Beans (Arabica),53.0,176.0,False
2021-09-14,Espresso Beans (Arabica),21.0,155.0,False
2021-09-15,Espresso Beans (Arabica),15.0,140.0,False
2021-09-16,Espresso Beans (Arabica),15.0,125.0,False
2021-09-17,Espresso Beans (Arabica),20.0,105.0,False
2021-09-18,Espresso Beans (Arabica),19.0,86.0,False
2021-09-19,Espresso Beans (Arabica),19.0,292.0,False
2021-09-20,Espresso Beans (Arabica),18.0,274.0,False
2021-09-21,Espresso Beans (Arabica),16.0,258.0,False
2021-09-22,Espresso Beans (Arabica),21.0,237.0,False
2021-09-23,Espresso Beans (Arabica),20.0,217.0,False
2021-09-24,Espresso Beans (Arabica),16.0,201.0,False
2021-09-25,Espresso Beans (Arabica),62.0,139.0,False
2021-09-26,Espresso Beans (Arabica),20.0,119.0,False
2021-09-27,Espresso Beans (Arabica),18.0,101.0,False
2021-09-28,Espresso Beans (Arabica),17.0,309.0,False
2021-09-29,Espresso Beans (Arabica),19.0,290.0,False
2021-09-30,Espresso Beans (Arabica),17.0,273.0,False
2021-10-01,Espresso Beans (Arabica),20.0,253.0,False
2021-10-02,Espresso Beans (Arabica),16.0,237.0,False
2021-10-03,Espresso Beans (Arabica),21.0,216.0,False
