date,sku,units_sold,on_hand,stockout_flag
2021-01-01,Espresso Beans (Arabica),1.0,3.7,False
2021-01-02,Espresso Beans (Arabica),0.0,3.7,False
2021-01-03,Espresso Beans (Arabica),1.0,2.7,False
2021-01-04,Espresso Beans (Arabica),1.0,7.6,False
2021-01-05,Espresso Beans (Arabica),0.0,7.6,False
2021-01-06,Espresso Beans (Arabica),0.0,7.6,False
2021-01-07,Espresso Beans (Arabica),1.0,6.6,False
2021-01-08,Espresso Beans (Arabica),0.0,6.6,False
2021-01-09,Espresso Beans (Arabica),1.0,5.6,False
2021-01-10,Espresso Beans (Arabica),0.0,5.6,False
2021-01-11,Espresso Beans (Arabica),1.0,4.6,False
2021-01-12,Espresso Beans (Arabica),1.0,3.6,False
2021-01-13,Espresso Beans (Arabica),1.0,2.6,False
2021-01-14,Espresso Beans (Arabica),1.0,1.6,False
2021-01-15,Espresso Beans (Arabica),1.0,0.6,False
2021-01-16,Espresso Beans (Arabica),0.0,6.5,False
2021-01-17,Espresso Beans (Arabica),1.0,5.5,False
2021-01-18,Espresso Beans (Arabica),0.0,5.5,False
2021-01-19,Espresso Beans (Arabica),1.0,4.5,False
2021-01-20,Espresso Beans (Arabica),1.0,3.5,False
2021-01-21,Espresso Beans (Arabica),0.0,3.5,False
2021-01-22,Espresso Beans (Arabica),0.0,3.5,False
2021-01-23,Espresso Beans (Arabica),1.0,2.5,False
2021-01-24,Espresso Beans (Arabica),1.0,1.5,False
2021-01-25,Espresso Beans (Arabica),0.0,7.4,False
2021-01-26,Espresso Beans (Arabica),0.0,7.4,False
2021-01-27,Espresso Beans (Arabica),1.0,6.4,False
2021-01-28,Espresso Beans (Arabica),1.0,5.4,False
2021-01-29,Espresso Beans (Arabica),1.0,4.4,False
2021-01-30,Espresso Beans (Arabica),1.0,3.4,False
2021-01-31,Espresso Beans (Arabica),1.0,2.4,False
2021-02-01,Espresso Beans (Arabica),0.0,2.4,False
2021-02-02,Espresso Beans (Arabica),0.0,2.4,False
2021-02-03,Espresso Beans (Arabica),0.0,2.4,False
2021-02-04,Espresso Beans (Arabica),1.0,1.4,False
2021-02-05,Espresso Beans (Arabica),1.0,0.4,False
2021-02-06,Espresso Beans (Arabica),1.0,5.9,True
2021-02-07,Espresso Beans (Arabica),0.0,5.9,False
2021-02-08,Espresso Beans (Arabica),0.0,5.9,False
2021-02-09,Espresso Beans (Arabica),1.0,4.9,False
2021-02-10,Espresso Beans (Arabica),1.0,3.9,False
2021-02-11,Espresso Beans (Arabica),1.0,2.9,False
2021-02-12,Espresso Beans (Arabica),0.0,2.9,False
2021-02-13,Espresso Beans (Arabica),1.0,1.9,False
2021-02-14,Espresso Beans (Arabica),1.0,0.9,False
2021-02-15,Espresso Beans (Arabica),1.0,5.9,True
2021-02-16,Espresso Beans (Arabica),1.0,4.9,False
2021-02-17,Espresso Beans (Arabica),1.0,3.9,False
2021-02-18,Espresso Beans (Arabica),1.0,2.9,False
2021-02-19,Espresso Beans (Arabica),1.0,1.9,False
2021-02-20,Espresso Beans (Arabica),1.0,0.9,False
2021-02-21,Espresso Beans (Arabica),1.0,5.9,True
2021-02-22,Espresso Beans (Arabica),0.0,5.9,False
2021-02-23,Espresso Beans (Arabica),0.0,5.9,False
2021-02-24,Espresso Beans (Arabica),0.0,5.9,False
2021-02-25,Espresso Beans (Arabica),0.0,5.9,False
2021-02-26,Espresso Beans (Arabica),0.0,5.9,False
2021-02-27,Espresso Beans (Arabica),1.0,4.9,False
2021-02-28,Espresso Beans (Arabica),0.0,4.9,False
2021-03-01,Espresso Beans (Arabica),1.0,3.9,False
2021-03-02,Espresso Beans (Arabica),0.0,3.9,False
2021-03-03,Espresso Beans (Arabica),0.0,3.9,False
