date,sku,units_sold,on_hand,stockout_flag
2024-02-12,Espresso beans,0.684,3.316,False
2024-02-13,Espresso beans,0.438,2.878,False
2024-02-14,Espresso beans,0.374,2.504,False
2024-02-15,Espresso beans,0.406,2.098,False
2024-02-16,Espresso beans,0.41,1.688,False
2024-02-17,Espresso beans,0.522,1.166,False
2024-02-12,Whole Milk,12.44,42.56,False
2024-02-13,Whole Milk,7.88,34.68,False
2024-02-14,Whole Milk,6.51,28.17,False
2024-02-15,Whole Milk,6.97,21.2,False
2024-02-16,Whole Milk,7.32,13.88,False
2024-02-17,Whole Milk,8.82,5.06,False
2024-02-12,Cheddar,0.06,0.44,False
2024-02-13,Cheddar,0.06,0.38,False
2024-02-14,Cheddar,0.02,0.36,False
2024-02-15,Cheddar,0.04,0.32,False
2024-02-16,Cheddar,0.04,0.28,False
2024-02-17,Cheddar,0.1,0.18,False
2024-02-12,Mozzarella,0.06,1.94,False
2024-02-13,Mozzarella,0.04,1.9,False
2024-02-14,Mozzarella,0.08,1.82,False
2024-02-15,Mozzarella,0.06,1.76,False
2024-02-16,Mozzarella,0.06,1.7,False
2024-02-17,Mozzarella,0.08,1.62,False
2024-02-12,Whipped cream,0.37,1.73,False
2024-02-13,Whipped cream,0.19,1.54,False
2024-02-14,Whipped cream,0.14,1.4,False
2024-02-15,Whipped cream,0.18,1.22,False
2024-02-16,Whipped cream,0.22,1.0,False
2024-02-17,Whipped cream,0.17,0.83,False
2024-02-12,Barista chocolate syrup,0.48,2.52,False
2024-02-13,Barista chocolate syrup,0.31,2.21,False
2024-02-14,Barista chocolate syrup,0.3,1.91,False
2024-02-15,Barista chocolate syrup,0.29,1.62,False
2024-02-16,Barista chocolate syrup,0.32,1.3,False
2024-02-17,Barista chocolate syrup,0.42,0.88,False
2024-02-12,Barista white chocolate syrup,0.27,3.73,False
2024-02-13,Barista white chocolate syrup,0.17,3.56,False
2024-02-14,Barista white chocolate syrup,0.15,3.41,False
2024-02-15,Barista white chocolate syrup,0.15,3.26,False
2024-02-16,Barista white chocolate syrup,0.15,3.11,False
2024-02-17,Barista white chocolate syrup,0.17,2.94,False
2024-02-12,Barista caramel sauce,0.22,0.78,False
2024-02-13,Barista caramel sauce,0.15,0.63,False
2024-02-14,Barista caramel sauce,0.13,0.5,False
2024-02-15,Barista caramel sauce,0.12,0.38,False
2024-02-16,Barista caramel sauce,0.12,0.26,False
2024-02-17,Barista caramel sauce,0.17,0.09,False
2024-02-12,Sugar,0.605,3.395,False
2024-02-13,Sugar,0.375,3.02,False
2024-02-14,Sugar,0.27,2.75,False
2024-02-15,Sugar,0.325,2.425,False
2024-02-16,Sugar,0.335,2.09,False
2024-02-17,Sugar,0.325,1.765,False
2024-02-12,Panini Bread,6.0,74.0,False
2024-02-13,Panini Bread,5.0,69.0,False
2024-02-14,Panini Bread,5.0,64.0,False
2024-02-15,Panini Bread,5.0,59.0,False
2024-02-16,Panini Bread,5.0,54.0,False
2024-02-17,Panini Bread,9.0,45.0,False
2024-02-12,Cocoa powder,0.32,4.68,False
2024-02-13,Cocoa powder,0.165,4.515,False
2024-02-14,Cocoa powder,0.12,4.395,False
2024-02-15,Cocoa powder,0.155,4.24,False
2024-02-16,Cocoa powder,0.19,4.05,False
2024-02-17,Cocoa powder,0.145,3.905,False
2024-02-12,Chocolate,0.27,1.73,False
2024-02-13,Chocolate,0.14,1.59,False
2024-02-14,Chocolate,0.1,1.49,False
2024-02-15,Chocolate,0.13,1.36,False
2024-02-16,Chocolate,0.16,1.2,False
2024-02-17,Chocolate,0.12,1.08,False
2024-02-12,Lemons,10.0,40.0,False
2024-02-13,Lemons,7.0,33.0,False
2024-02-14,Lemons,5.0,28.0,False
2024-02-15,Lemons,6.0,22.0,False
2024-02-16,Lemons,6.0,16.0,False
2024-02-17,Lemons,6.0,10.0,False
2024-02-12,Ham,0.15,2.85,False
2024-02-13,Ham,0.15,2.7,False
2024-02-14,Ham,0.05,2.65,False
2024-02-15,Ham,0.1,2.55,False
2024-02-16,Ham,0.1,2.45,False
2024-02-17,Ham,0.25,2.2,False
2024-02-12,Salami,0.255,1.745,False
2024-02-13,Salami,0.145,1.6,False
2024-02-14,Salami,0.23,1.37,False
2024-02-15,Salami,0.195,1.175,False
2024-02-16,Salami,0.195,0.98,False
2024-02-17,Salami,0.245,0.735,False
2024-02-12,Black Tea,0.04,1.96,False
2024-02-13,Black Tea,0.03,1.93,False
2024-02-14,Black Tea,0.02,1.91,False
2024-02-15,Black Tea,0.02,1.89,False
2024-02-16,Black Tea,0.02,1.87,False
2024-02-17,Black Tea,0.02,1.85,False
